customer_id,name,email,region
C1000,Kelly Davis,robert80@harris.org,North
C1001,Sherry Daugherty,reevesryan@garcia.biz,West
C1002,Justin Farmer,reyeselizabeth@johnson.com,South
C1003,Chad Baldwin,millerrebecca@hotmail.com,West
C1004,Jason Walls,dboone@castillo.biz,North
C1005,Michelle Bennett,brownrodney@vincent-johnson.com,North
C1006,Michael Montoya,chasechelsea@long-henry.net,West
C1007,Derek Fisher,bettyprice@yahoo.com,South
C1008,Kelly Logan,sophiacannon@bowen.info,North
C1009,Richard Hendricks,gmedina@richardson.com,West
C1010,Crystal Lowe,tammyjackson@walker-summers.com,West
C1011,Julie Chase,lutzfranklin@smith.com,South
C1012,Adam Ferguson,michaelcarpenter@yahoo.com,East
C1013,Kaitlyn Benton,denise91@santos-evans.info,East
C1014,Kevin Roberts,mcknightalexandria@morris.com,South
C1015,Kim Mosley,henry94@williams.com,South
C1016,Mark Simmons,kellyweiss@gmail.com,South
C1017,Stephen Carter,knightmichael@waters-roberts.com,East
C1018,Vincent Taylor,theresafisher@anderson.info,East
C1019,Andrew Alexander,maurice56@hotmail.com,East
C1020,Angel Parker,adamhall@fox-griffin.com,South
C1021,Rachael Steele,xstafford@yahoo.com,West
C1022,Ricky Rivera,ballardbrian@hotmail.com,West
C1023,Sarah Adams,mercadoandrea@gmail.com,South
C1024,Jessica Nelson,douglashogan@hotmail.com,East
C1025,Edwin Schmitt,gmcintyre@whitaker.com,South
C1026,Justin Williams,deanna32@berry.com,North
C1027,Joshua Day,sanchezangela@stark.biz,South
C1028,Vincent Smith,raymond05@howard.net,East
C1029,Glenn Richardson,alexandertammy@hotmail.com,West
C1030,Isabel Green,cartercharles@bryant.net,West
C1031,Joanne Garcia,qhoover@hotmail.com,West
C1032,Pamela Williams,lisa23@reynolds-torres.com,South
C1033,Michelle Beck,nstrickland@adams.biz,South
C1034,Susan Clark,harrisrebecca@moore-michael.com,North
C1035,Eric George,lisa30@edwards.com,East
C1036,Isaac Foley,dsmith@miles.org,North
C1037,Patricia Wilson,kswanson@beasley.com,East
C1038,Gregory Schmidt,stephaniehanson@welch.com,West
C1039,Keith Bradley,stantonkristopher@yahoo.com,North
C1040,Juan Kirby,wilsongeorge@hotmail.com,North
C1041,James Johnson,schwartzjohn@gmail.com,South
C1042,Jeffery Fitzgerald,egonzalez@hotmail.com,East
C1043,Christopher Lopez,rodney51@hotmail.com,West
C1044,Robert Parrish,davisgary@gmail.com,West
C1045,Nathan Hawkins,dunnkelli@page.biz,North
C1046,David Brown,richardjohnson@hines.com,West
C1047,Melissa Nelson,elizabethfrench@yahoo.com,North
C1048,Kevin Chavez,johnsoncarrie@yahoo.com,South
C1049,Phillip Sanford,jennifercantrell@gmail.com,South
C1050,Christine Robinson,zwhite@yahoo.com,West
C1051,Donna Lucero,melissasmith@gmail.com,West
C1052,Jesse Lopez,brooke41@ponce.com,East
C1053,Robert Marsh,ufernandez@hotmail.com,North
C1054,Sharon Gamble,jchang@reese-stephens.com,South
C1055,Sonya Nunez,terrihammond@yahoo.com,South
C1056,Michael Atkins,satkins@gmail.com,South
C1057,Ethan Welch,bobby02@ramirez-farley.info,North
C1058,Brian Larson,robertsjimmy@hotmail.com,East
C1059,Billy Chavez,padillatracy@yahoo.com,West
C1060,Michelle Reynolds,haynesashley@hotmail.com,East
C1061,Jasmine Farley,morrisonjohn@gmail.com,North
C1062,Evan Cruz,xfrazier@mcfarland-harris.com,South
C1063,Monica Wade,douglas34@jones.com,North
C1064,Peter Perez,andrewmedina@lowe.info,South
C1065,Andrea Griffith,clarketammy@bowen.com,South
C1066,Karen Paul,pacesandra@yahoo.com,North
C1067,Ariel Jackson,robersonjeffrey@schultz-stone.com,North
C1068,Richard Knight,lmarshall@hotmail.com,North
C1069,Carmen Barrett,jasonarnold@fox.com,North
C1070,Steven Holmes,morrisantonio@gmail.com,West
C1071,Douglas Hudson,hcobb@hotmail.com,East
C1072,Gary Ray,adam43@patel.biz,East
C1073,Peter Clark,daniel46@hunter.com,North
C1074,Alex Griffin,zcarrillo@moore.com,East
C1075,Kristin Mills,eriddle@gmail.com,West
C1076,Dr. Jesus Short,pschwartz@gmail.com,South
C1077,Patrick Lyons,julie06@yahoo.com,North
C1078,Nicole Wilson,charles96@berry-gonzalez.com,South
C1079,Regina Fuentes,denisestone@davis-doyle.info,South
